NO,구분,고객번호,구분1,본부명,센터,팀,국사,고객번호
87,대상,1116007024,#N/A,2.강남/서부,경기서부액세스운용센터,송도운용팀,항동,1116007024
88,대상,1116006506,#N/A,2.강남/서부,경기서부액세스운용센터,부천운용팀,부천,1116006506
89,대상,1116006436,estate,2.강남/서부,경기서부액세스운용센터,부천운용팀,북부천(본동),1116006436
90,대상,1116006445,estate,2.강남/서부,경기서부액세스운용센터,부천운용팀,중동,1116006445
91,대상,1116002742,#N/A,2.강남/서부,경기서부액세스운용센터,부평운용팀,계양,1116002742
92,대상,1116060689,#N/A,2.강남/서부,경기서부액세스운용센터,부평운용팀,김포,1116060689
93,대상,1116003215,estate,2.강남/서부,경기서부액세스운용센터,부평운용팀,부평,1116003215
94,대상,0227112629,#N/A,2.강남/서부,경기서부액세스운용센터,안양운용팀,군포,0227112629
95,대상,0227371180,#N/A,2.강남/서부,경기서부액세스운용센터,안양운용팀,서안양,0227371180
96,대상,0227373348,#N/A,2.강남/서부,경기서부액세스운용센터,안양운용팀,안양,0227373348
97,대상,0227108242,estate,2.강남/서부,경기서부액세스운용센터,안산운용팀,동안산(본동),0227108242
98,대상,0227109125,estate,2.강남/서부,경기서부액세스운용센터,안산운용팀,서안산(본동),0227109125
99,대상,0227109848,#N/A,2.강남/서부,경기서부액세스운용센터,안산운용팀,안산,0227109848
100,대상,0422032311,#N/A,3.부산/경남,부산/경남코어운용센터,전원기술부,부산통신센터(본국),0422032311
101,대상,0422032302,estate,3.부산/경남,부산액세스운용센터,중부산운용팀,중부산(본동),0422032302
102,대상,0422031394,#N/A,3.부산/경남,부산액세스운용센터,사하운용팀,장림,0422031394
103,대상,0430504698,#N/A,3.부산/경남,부산액세스운용센터,북부산운용팀,녹산,0430504698
104,대상,0422025267,#N/A,3.부산/경남,부산액세스운용센터,북부산운용팀,북부산,0422025267
105,대상,0422026578,#N/A,3.부산/경남,부산액세스운용센터,동부산운용팀,동부산,0422026578
106,대상,0422022983,#N/A,3.부산/경남,부산액세스운용센터,동부산운용팀,수영,0422022983
107,대상,0422037637,estate,3.부산/경남,부산액세스운용센터,남부산운용팀,남부산(범일),0422037637
108,대상,0422022233,#N/A,3.부산/경남,부산액세스운용센터,남부산운용팀,대연국사,0422022233
109,대상,0422033604,#N/A,3.부산/경남,부산액세스운용센터,해운대운용팀,기장,0422033604
110,대상,0422024473,무선,3.부산/경남,부산액세스운용센터,해운대운용팀,송정교환국사,0422024473
111,대상,0422024712,estate,3.부산/경남,부산액세스운용센터,해운대운용팀,좌동,0422024712
112,대상,0422026113,#N/A,3.부산/경남,부산액세스운용센터,구포운용팀,구포,0422026113
113,대상,0422026382,#N/A,3.부산/경남,부산액세스운용센터,구포운용팀,금곡,0422026382
114,대상,0430602305,#N/A,3.부산/경남,부산액세스운용센터,동래운용팀,금사,0430602305
115,대상,0422026827,#N/A,3.부산/경남,부산액세스운용센터,동래운용팀,동래,0422026827
116,대상,0422026890,estate,3.부산/경남,부산액세스운용센터,동래운용팀,미남(본동),0422026890
117,대상,0422023278,estate,3.부산/경남,부산액세스운용센터,동래운용팀,반송(본동),0422023278
118,대상,0917102315,#N/A,3.부산/경남,경남액세스운용센터,마산운용팀,동마산,0917102315
